username,password,email,address,entity,role,usage_purpose,v1,v2,v3
Michelle.Delaunay,4295,Michelle.Delaunay@hotmail.com,"74, boulevard Ferreira
35280 Sainte Madeleinenec",Rivière Clément SARL,customer,stock_market,True,True,False
Dorothée.Berger,5932,Dorothée.Berger@yahoo.com,"76, rue Patricia Peltier
32881 Bodin-sur-Mer",Lévy Didier et Fils,customer,reviews,False,False,False
Agathe.Bouchet,3055,Agathe.Bouchet@yahoo.com,"9, rue André Bousquet
04595 Hardy-sur-Mer",Rodrigues S.A.R.L.,customer,reviews,False,False,False
Céline.Devaux,1566,Céline.Devaux@yahoo.com,"39, rue Klein
18890 Delannoy",Guichard,customer,stock_market,False,True,True
Thomas.Benoit,2011,Thomas.Benoit@gmail.com,"rue Gomez
33608 Martindan",Brunet S.A.,customer,stock_market,False,False,True
Émile.Maillard,9990,Émile.Maillard@gmail.com,"boulevard Carpentier
53656 Jacquot",Berthelot S.A.R.L.,customer,stock_market,True,False,False
Édouard.Pages,8068,Édouard.Pages@gmail.com,"37, chemin Susanne Huet
93316 Poirier",Lacroix,customer,stock_market,False,True,False
Lucas.Julien,1073,Lucas.Julien@gmail.com,"20, rue de Robert
67858 Delaunay-la-Forêt",Neveu,customer,reviews,False,False,False
Olivie.Olivier,7154,Olivie.Olivier@hotmail.com,"28, avenue Christine Pires
82645 Duval",Guyon Bazin SARL,customer,stock_market,False,False,True
Alexandria.Colas,5882,Alexandria.Colas@gmail.com,"chemin Bernard Gros
60699 Girard-sur-Lefort",Regnier,customer,stock_market,True,True,False
Isaac.Launay,2559,Isaac.Launay@yahoo.com,"1, chemin de Gautier
05703 Thomas-sur-Dumas",individual,customer,reviews,True,True,True
Célina.Cordier,9196,Célina.Cordier@yahoo.com,"7, avenue Agnès Rodrigues
50168 Saint Gabrielle",Roche S.A.S.,customer,news,True,False,False
Charlotte.Delorme,9793,Charlotte.Delorme@hotmail.com,"rue Neveu
22873 Saint Alexandrie-la-Forêt",Lebreton et Fils,customer,reviews,False,False,True
Danielle.Leroy,2503,Danielle.Leroy@gmail.com,"chemin Camus
58168 Marienec",individual,customer,reviews,True,False,False
